"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"kir",90,"Océanie","Kiribati","Kiribati",700,700,,,,,,,,110000,110000,110000,114000,116000,118000,120000,119000,121000,130000,134000,135000,,,,,,,,157.14000000000001,157.14000000000001,157.14000000000001,162.86,165.71,168.57,171.43,170.,172.86,185.71,191.43,192.86
"ksv",91,"Europe","Kosovo","Kosovo",11000,11000,,,,,,,2300000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1700000,1600000,1600000,1600000,,,,,,,209.09,163.64000000000001,163.64000000000001,163.64000000000001,163.64000000000001,163.64000000000001,163.64000000000001,163.64000000000001,163.64000000000001,154.55,145.45000000000002,145.45000000000002,145.45000000000002
"kwt",92,"Asie","Kuwait","Koweït",18000,18000,2700000,2800000,2700000,3000000,3000000,2800000,2900000,3500000,3500000,3800000,4000000,4100000,4200000,4200000,4300000,4300000,4200000,4300000,4900000,150,155.56,150.,166.67000000000002,166.67000000000002,155.56,161.11,194.44,194.44,211.11,222.22,227.78,233.33,233.33,238.89000000000001,238.89000000000001,233.33,238.89000000000001,272.22
"brb",93,"Amérique","Barbados","La Barbade",400,400,300000,300000,300000,300000,300000,300000,300000,250000,250000,280000,285000,286000,286000,287000,290000,280000,282000,282000,282000,750,750.,750.,750.,750.,750.,750.,625.,625.,700.,712.5,715.,715.,717.5,725.,700.,705.,705.,705.
"lao",94,"Asie","Laos","Laos",237000,237000,6100000,5900000,5900000,6300000,6400000,6300000,6400000,6700000,6700000,6900000,6900000,7000000,7000000,7200000,7300000,7400000,7500000,7600000,7700000,26,24.89,24.89,26.580000000000002,27.,26.580000000000002,27.,28.27,28.27,29.11,29.11,29.54,29.54,30.38,30.8,31.220000000000002,31.650000000000002,32.07,32.49
"lso",95,"Afrique","Lesotho","Lesotho",30000,30000,1800000,1800000,1800000,2100000,2100000,2200000,2200000,2200000,2200000,1900000,2100000,2200000,2300000,2100000,2100000,2100000,2300000,2300000,2300000,60,60.,60.,70.,70.,73.33,73.33,73.33,73.33,63.33,70.,73.33,76.67,70.,70.,70.,76.67,76.67,76.67
"lva",96,"Europe","Latvia","Lettonie",65000,65000,2300000,2300000,2300000,2300000,2200000,2200000,2200000,2000000,2000000,2000000,2000000,1900000,1900000,1900000,1900000,1800000,1800000,1800000,1800000,35,35.38,35.38,35.38,33.85,33.85,33.85,30.77,30.77,30.77,30.77,29.23,29.23,29.23,29.23,27.69,27.69,27.69,27.69
"lbn",97,"Asie","Lebanon","Liban",10000,10000,3900000,3900000,4000000,3900000,4300000,4300000,4300000,4800000,4800000,6200000,6000000,6000000,6100000,6900000,6800000,6700000,5400000,5300000,5800000,390,390.,400.,390.,430.,430.,430.,480.,480.,620.,600.,600.,610.,690.,680.,670.,540.,530.,580.
"lbr",98,"Afrique","Liberia","Liberia",111000,111000,3400000,3800000,3900000,4000000,4100000,4100000,4200000,4400000,4400000,4500000,4600000,4700000,4800000,4900000,5000000,5100000,5300000,5400000,5600000,31,34.230000000000004,35.14,36.04,36.94,36.94,37.84,39.64,39.64,40.54,41.44,42.34,43.24,44.14,45.050000000000004,45.95,47.75,48.65,50.45
"lby",99,"Afrique","Libya","Libye",1762000,1762000,5900000,6200000,6300000,6300000,6500000,6400000,6500000,6500000,6500000,6300000,6300000,6400000,6500000,6800000,6900000,6900000,6800000,6800000,7800000,3,3.52,3.58,3.58,3.69,3.63,3.69,3.69,3.69,3.58,3.58,3.63,3.69,3.86,3.92,3.92,3.86,3.86,4.43
